鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
汐止區,房地(土地+建物)+車位,新北市汐止區新臺五路二段１９０號８樓,4.33,都市：其他:第二種住宅區,,,1100814,土地2建物1車位1,八層,三十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0851230,122.74,2,1,1,有,有,6905000,56262,坡道平面,44.88,0,,RPROMLOKRHGGFDF48DA,42.32,5.01,0.0,有,
淡水區,房地(土地+建物)+車位,新北市淡水區中正路二段４６號十二樓,10.32,都市：其他:商業區,,,1100811,土地2建物1車位1,十二層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061026,153.46,1,2,1,有,有,13850000,101928,坡道平面,27.39,1000000,,RPRPMLNKQHGGFEF48DA,61.02,21.07,0.0,有,
汐止區,房地(土地+建物)+車位,新北市汐止區大同路三段６１７號４樓,2.84,都市：其他:第二種住宅區,,,1100829,土地1建物1車位1,四層,三十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,37.06,3,2,2,有,有,2000000,53967,坡道機械,0.0,0,,RPVNMLKKRHGGFDF38DA,20.81,2.12,0.0,有,249.0
汐止區,房地(土地+建物)+車位,新北市汐止區大同路三段６１７號４樓,2.84,都市：其他:第二種住宅區,,,1100829,土地1建物1車位1,四層,三十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,37.06,3,2,2,有,有,2000000,53967,坡道機械,0.0,0,,RPWNMLKKRHGGFDF48DA,20.81,2.12,0.0,有,249.0
汐止區,房地(土地+建物)+車位,新北市汐止區大同路三段６１３號２１樓,12.7,都市：其他:第二種住宅區,,,1100823,土地1建物1車位1,二十一層,三十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,157.47,3,2,2,有,有,7450000,47311,坡道機械,21.34,0,,RPTNMLKKRHGGFDF18DA,92.32,10.55,0.0,有,
汐止區,房地(土地+建物),新北市汐止區康寧街７４９號三樓之３,17.71,都市：其他:風景區,,,1100817,土地2建物1車位0,三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980526,90.13000000000001,1,2,1,有,有,9000000,99856,,0.0,0,其他增建；,RPOOMLLKRHGGFDF87DA,61.5,10.15,0.0,有,
汐止區,房地(土地+建物),新北市汐止區大同路二段１８４巷９號２２樓之６,11.88,都市：其他:第二種住宅區,,,1100717,土地2建物1車位0,二十二層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870903,92.5,2,2,1,有,有,12500000,135135,,0.0,0,,RPQNMLPJRHGGFDF28DA,58.4,9.01,0.0,有,253.0
汐止區,房地(土地+建物)+車位,新北市汐止區大同路三段６１５號５樓之５,6.71,都市：其他:第二種住宅區,,,1100828,土地1建物1車位1,五層,三十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,95.92,2,1,1,有,有,4900000,51084,坡道機械,21.34,0,,RPUNMLKKRHGGFDF28DA,48.56,9.5,0.0,有,313.0
三峽區,房地(土地+建物)+車位,新北市三峽區學成路２７６號十八樓之三,17.02,都市：其他:住宅區,,,1100717,土地1建物1車位1,十八層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951117,146.79000000000002,3,2,2,有,有,13500000,91968,坡道平面,22.7,0,親友、員工、共有人或其他特殊關係間之交易；,RPRPMLOKRHGGFIF09DA,81.47,11.93,0.0,有,
中和區,房地(土地+建物),新北市中和區中正路８１７號二十樓之一,3.81,都市：其他:道路用地,,,1100826,土地2建物1車位0,二十層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880915,45.5,1,1,1,有,有,6080000,133626,,0.0,0,陽台外推；,RPVNMLPKRHGGFHF76EA,31.44,4.9,0.0,有,374.0
汐止區,房地(土地+建物),新北市汐止區大同路二段１８４巷２號１０樓之１,11.88,都市：其他:第二種住宅區,,,1100908,土地2建物1車位0,十層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870903,96.3,1,1,1,有,有,12300000,127726,,0.0,0,,RPVOMLPKRHGGFDF09EA,62.39,8.82,0.0,有,
新店區,房地(土地+建物)+車位,新北市新店區中興路二段１３１號二十三樓,15.73,都市：其他:住宅區,,,1100824,土地1建物1車位1,二十三層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0980612,186.84,3,2,2,有,有,26880000,160351,坡道平面,31.68,2000000,,RPWNNLQKRHGGFCF56EA,98.13,15.46,0.0,有,
板橋區,房地(土地+建物),新北市板橋區民生路三段３２３號十四樓之４,1.98,都市：其他:住宅區,,,1100814,土地2建物1車位0,十四層,三十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0950914,58.629999999999995,1,1,1,有,有,8300000,141566,,0.0,0,陽台外推；,RPPNMLNKRHGGFAF87EA,35.56,4.34,0.0,有,401.0
三重區,房地(土地+建物),新北市三重區重新路三段１５０號七樓,5.87,都市：其他:道路用地,,,1100805,土地2建物1車位0,七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,1031226,107.75999999999999,2,1,1,有,有,16250000,150798,,0.0,0,,RPWOMLRJRHGGFGF86DA,54.39,11.89,0.0,有,427.0
淡水區,房地(土地+建物)+車位,新北市淡水區八勢路５０巷８１號九樓,89.23,都市：其他:住宅區(一),,,1100512,土地1建物1車位2,九層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1070521,338.57,0,0,0,無,有,31110000,105866,坡道平面,75.88,3300000,,RPTOMLQKRHGGFEF98DA,155.58,17.83,0.0,有,
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段２０５號五樓,11.23,都市：其他:第三之一種中心商業區,,,1100813,土地1建物1車位1,五層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525,158.94,3,2,2,有,有,10550000,70828,坡道平面,30.46,1450000,含裝潢費1100000元；,RPQQMLKKQHGGFEF18DA,74.97,10.43,0.0,有,
板橋區,房地(土地+建物),新北市板橋區民生路三段３２１號三十一樓之２,3.2,都市：其他:住宅區,,,1100820,土地2建物1車位0,三十一層,三十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0950914,94.25,2,2,2,有,有,15250000,161787,,0.0,0,夾層；,RPXRMLPKRHGGFAF56DA,57.73,11.59,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區文化路二段８４號十二樓,14.87,都市：其他:住宅區,,,1100804,土地1建物1車位1,十二層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840617,251.45,4,2,2,有,有,33000000,131244,坡道平面,40.65,0,,RPWPMLQJRHGGFAF88DA,203.43,17.21,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區天祥六街３號九樓,16.38,都市：其他:住宅區,,,1100818,土地1建物1車位1,九層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0901129,229.01999999999998,4,2,2,有,有,16700000,72919,坡道平面,15.4,0,,RPRRMLQLQHGGFAH88DA,127.34,15.17,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區藝文一街７０號二十四樓,17.67,都市：其他:商業區,,,1100417,土地1建物1車位1,二十四層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1090106,211.1,3,2,3,有,有,25820000,130071,坡道平面,27.2,1900000,,RPQOMLLJRHGGFAH87DA,109.56,12.07,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區吉安一街１７７號十四樓,18.04,都市：其他:第一之二種住宅區,,,1100806,土地1建物1車位1,十四層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070323,153.03,3,2,2,有,有,14680000,105581,坡道平面,27.25,1400000,,RPUPMLQJRHGGFAH88DA,73.99,9.59,0.0,有,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南山路一段６９號十一樓之１,13.7,都市：其他:住宅區,,,1100608,土地1建物1車位1,十一層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840811,172.45,3,2,2,有,有,7300000,47529,坡道平面,39.9,1000000,,RPPNMLPJRHGGFEH48DA,92.52,9.82,0.0,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區民族路二段２３巷３８號十二樓,9.39,都市：其他:商業區,,,1100730,土地1建物1車位1,十二層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030807,154.95,3,2,2,有,有,9050000,58406,坡道平面,0.0,0,,RPXOMLMJRHGGFGH66DA,82.64,7.08,0.0,有,37.0
桃園區,房地(土地+建物)+車位,桃園市桃園區永安路５０７之１號五樓,16.42,都市：其他:住宅區,,,1100723,土地1建物1車位1,五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090619,137.87,2,1,2,有,有,11900000,100830,坡道平面,34.23,1450000,,RPSPMLTJRHGGFAH09EA,64.34,6.95,0.0,有,
平鎮區,房地(土地+建物),桃園市平鎮區民族路二段２３巷１８號二十四樓,5.83,都市：其他:商業區,,,1100804,土地1建物1車位0,二十四層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030807,83.34,1,1,1,有,有,6300000,75594,,0.0,0,其他增建；,RPOOMLTJRHGGFGH56EA,51.19,6.37,0.0,有,54.0
龜山區,房地(土地+建物)+車位,桃園市龜山區文青路３３７號十一樓之２,23.41,都市：其他:第五種住宅區(供合宜住宅使用),,,1100806,土地1建物1車位1,十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041127,194.95,4,2,2,有,有,8440000,43293,坡道平面,33.75,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLTJRHGGFHH66EA,108.55,9.5,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區經國一路１０６號九樓,13.86,都市：其他:商業區,,,1100725,土地1建物1車位1,九層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060929,142.54,2,2,1,有,有,11300000,93300,坡道平面,41.79,1900000,,RPUPMLTJRHGGFAH66EA,60.66,6.8,0.0,有,66.0
龜山區,房地(土地+建物)+車位,桃園市龜山區文青路１６３號六樓之６,22.28,都市：其他:第五種住宅區(供合宜住宅使用),,,1100806,土地1建物1車位1,六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040814,178.19,3,2,2,有,有,12600000,70711,坡道平面,37.58,0,,RPROMLTJRHGGFHH86DA,90.83,9.02,0.0,有,
蘆竹區,房地(土地+建物)+車位,桃園市蘆竹區南山路一段６３號十二樓之２,11.33,都市：其他:住宅區,,,1100806,土地1建物1車位1,十二層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840811,153.35000000000002,3,2,2,有,有,7450000,48582,坡道平面,0.0,0,,RPOQMLSJRHGGFEH98DA,76.55,9.51,0.0,有,83.0
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路３０６號十三樓,37.26,都市：其他:第一之一種住宅區,,,1100626,土地1建物1車位2,十三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080814,274.18,2,2,3,有,有,27000000,104349,坡道平面,46.1,3200000,,RPPNMLOJRHGGFAH97DA,131.71,19.48,0.0,有,
中壢區,房地(土地+建物)+車位,桃園市中壢區元化路３５６號三樓之１,17.84,都市：其他:商業區,,,1100814,土地1建物1車位1,三層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970406,252.63,4,2,3,有,有,21770000,91947,坡道平面,35.44,1800000,,RPUOMLKKRHGGFBH38DA,148.32,21.29,0.0,有,
大園區,房地(土地+建物)+車位,桃園市大園區高鐵南路一段５０號二十一樓之６,15.14,都市：其他:住宅區,,,1100727,土地1建物1車位1,二十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060815,125.10999999999999,2,2,1,有,有,13280000,106147,坡道平面,35.87,0,,RPWNMLNKQHGGFEH98DA,51.1,7.19,0.0,有,146.0
