鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
清水區,房地(土地+建物),臺中市清水區中興北街６２號,97.19,都市：其他:第四種住宅區,,,1100828,土地1建物1車位0,全,四層,透天厝,停車空間、住宅,鋼筋混凝土造,1090324,168.81,5,2,3,有,無,13700000,81156,,0.0,0,,RPPNMLRJRHGGFFB18DA,156.52,12.29,0.0,無,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路四段６７號十三樓之５,15.1,都市：其他:住宅區,,,1080904,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100721,118.65,2,2,1,有,有,6450000,58239,坡道平面,31.08,1350000,預售屋、或土地及建物分件登記案件；,RPWTMLNJRHGGFJB86DA,51.57,8.1,0.0,有,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路四段６５號九樓之３,22.11,都市：其他:住宅區,,,1080829,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100721,157.07,3,2,2,有,有,8580000,58179,坡道平面,31.08,1250000,預售屋、或土地及建物分件登記案件；,RPTSNLMJRHGGFJB09DA,73.66,12.07,0.0,有,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路四段６３號八樓之３,23.73,都市：其他:住宅區,,,1090202,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100721,168.26,3,2,2,有,有,9400000,59411,坡道平面,31.08,1250000,預售屋、或土地及建物分件登記案件；,RPQQNLMJRHGGFJB58DA,81.29,12.07,0.0,有,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路四段６３號六樓之１,30.2,都市：其他:住宅區,,,1090317,土地1建物1車位2,六層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100721,235.18,4,2,3,有,有,11500000,53173,坡道平面,62.16,2300000,預售屋、或土地及建物分件登記案件；,RPOWMLMJRHGGFJB88DA,104.19,13.77,0.0,有,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路四段６７號五樓之５,15.1,都市：其他:住宅區,,,1090224,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100721,118.65,2,2,1,有,有,6200000,57668,坡道平面,31.08,1150000,預售屋、或土地及建物分件登記案件；,RPTVMLMJRHGGFJB66DA,51.57,8.1,0.0,有,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路四段６５號四樓之３,22.11,都市：其他:住宅區,,,1081004,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100721,157.07,3,2,2,有,有,8300000,56751,坡道平面,31.08,1150000,預售屋、或土地及建物分件登記案件；,RPOTMLMJRHGGFJB58DA,73.66,12.07,0.0,有,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路四段６９號三樓之２,21.03,都市：其他:住宅區,,,1081104,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100721,150.62,3,2,2,有,有,7580000,53790,坡道平面,31.08,1150000,預售屋、或土地及建物分件登記案件；,RPWRMLMJRHGGFJB56DA,73.23,7.92,0.0,有,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路四段６５號五樓之２,29.66,都市：其他:住宅區,,,1081227,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100721,204.07,4,2,3,有,有,10000000,51159,坡道平面,31.08,1150000,預售屋、或土地及建物分件登記案件；,RPWUMLMJRHGGFJB86DA,104.17,13.77,0.0,有,
太平區,房地(土地+建物)+車位,臺中市太平區環中東路四段６５號五樓之３,22.11,都市：其他:住宅區,,,1090109,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1100721,157.07,3,2,2,有,有,8480000,58179,坡道平面,31.08,1150000,預售屋、或土地及建物分件登記案件；,RPXUMLMJRHGGFJB96DA,73.66,12.07,0.0,有,
沙鹿區,房地(土地+建物)+車位,臺中市沙鹿區臺灣大道六段７５７號五樓,41.07,都市：其他:第二種住宅區,,,1100810,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1071126,155.74,3,2,2,有,有,11300000,72557,坡道平面,0.0,0,,RPPOMLLKRHGGFFB77DA,73.38,8.73,0.0,有,0164
清水區,房地(土地+建物),臺中市清水區忠孝路４６８巷２５號,59.91,都市：其他:第四種住宅區,,,1090725,土地2建物1車位0,全,四層,透天厝,人行道、住宅、樓梯間,鋼筋混凝土造,1100218,217.05,5,2,6,有,有,11300000,52062,,0.0,0,預售屋、或土地及建物分件登記案件；,RPQQMLTJRHGGFFB78DA,191.29,25.76,0.0,無,
清水區,房地(土地+建物),臺中市清水區忠孝路４６８巷２９號,59.91,都市：其他:第四種住宅區,,,1090802,土地2建物1車位0,全,四層,透天厝,人行道、住宅、樓梯間,鋼筋混凝土造,1100218,217.05,5,2,6,有,有,11780000,54273,,0.0,0,預售屋、或土地及建物分件登記案件；,RPRQMLTJRHGGFFB88DA,191.29,25.76,0.0,無,
清水區,房地(土地+建物),臺中市清水區忠孝路４６８巷３９號,59.91,都市：其他:第四種住宅區,,,1100419,土地2建物1車位0,全,四層,透天厝,人行道、住宅、樓梯間,鋼筋混凝土造,1100218,217.05,5,2,6,有,有,11500000,52983,,0.0,0,,RPSQMLTJRHGGFFB98DA,191.29,25.76,0.0,無,
清水區,房地(土地+建物),臺中市清水區忠孝路４６８巷４１號,67.91,都市：其他:第四種住宅區,,,1100625,土地2建物1車位0,全,四層,透天厝,人行道、住宅、樓梯間,鋼筋混凝土造,1100218,219.67,5,2,6,有,有,11600000,52806,,0.0,0,,RPTQMLTJRHGGFFB09DA,193.39,26.28,0.0,無,
清水區,房地(土地+建物)+車位,臺中市清水區民族路二段７５巷４３號,68.86,都市：其他:第四種住宅區,,,1080505,土地3建物1車位1,全,三層,透天厝,停車空間、住宅、樓梯間,鋼筋混凝土造,1100218,204.77,5,2,5,有,有,11100000,54207,坡道平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPVQMLTJRHGGFFB66DA,171.14,16.11,0.0,無,
清水區,房地(土地+建物)+車位,臺中市清水區民族路二段７５巷３３號,68.86,都市：其他:第四種住宅區,,,1080622,土地4建物1車位1,全,三層,透天厝,停車空間、住宅、樓梯間,鋼筋混凝土造,1100218,206.75,5,2,5,有,有,10900000,52721,坡道平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPWQMLTJRHGGFFB76DA,157.75,20.54,0.0,無,
清水區,房地(土地+建物)+車位,臺中市清水區民族路二段７５巷１１號,74.86,都市：其他:第四種住宅區,,,1081026,土地3建物1車位1,全,三層,透天厝,停車空間、住宅、樓梯間,鋼筋混凝土造,1100218,223.89,5,2,5,有,有,12000000,53598,坡道平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPORMLTJRHGGFFB68DA,188.51,17.78,0.0,無,
清水區,房地(土地+建物)+車位,臺中市清水區民族路二段７５巷１３號,75.86,都市：其他:第四種住宅區,,,1081030,土地3建物1車位1,全,四層,透天厝,停車空間、住宅,鋼筋混凝土造,1100218,228.97,5,2,5,有,有,12000000,52409,坡道平面,0.0,0,預售屋、或土地及建物分件登記案件；,RPPRMLTJRHGGFFB78DA,185.35,26.02,0.0,無,
