鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
平鎮區,房地(土地+建物),桃園市平鎮區中豐路２０６號八樓之２,4.36,都市：其他:住宅區,,,1100828,土地1建物1車位0,八層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860501,38.18,1,0,1,有,有,2150000,56312,,0.0,0,,RPTPMLNKRHGGFGH56DA,22.15,3.76,0.0,有,298
平鎮區,房地(土地+建物)+車位,桃園市平鎮區中豐路２４８號四樓,23.81,都市：其他:住宅區,,,1100617,土地1建物1車位1,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0931007,148.35000000000002,3,2,2,有,有,6000000,40445,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNKRHGGFGH58DA,74.16,14.35,0.0,有,
平鎮區,房地(土地+建物),桃園市平鎮區延平路三段３１４巷１１弄１２之６號,142.36,都市：其他:農業區,,,1100726,土地7建物1車位0,全,四層,透天厝,住宅、住宅﹝附屬停車空間、附屬梯間﹞,鋼筋混凝土造,1060420,418.9,5,3,5,有,有,22500000,53712,,0.0,0,,RPRNMLNKRHGGFGH78DA,361.43,18.39,0.0,有,299
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文心路１２８號十五樓,16.55,都市：其他:商業區,,,1100828,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060817,158.6,2,2,2,有,有,9792000,61740,坡道平面,31.42,0,,RPWOMLOKRHGGFGH86DA,77.8,8.33,0.0,有,300
龜山區,房地(土地+建物),桃園市龜山區文昌三街１２０號七樓,27.11,都市：其他:第二種住宅區,,,1100811,土地1建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080726,93.89,2,1,1,有,有,11000000,117158,,0.0,0,,RPOOMLQLQHGGFHH98DA,55.22,7.79,0.0,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區長峰路１３８號五樓,23.62,都市：其他:第二種住宅區,,,1100821,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000701,199.84,3,2,2,有,有,11450000,57296,坡道平面,33.6,0,,RPVNMLRLQHGGFHH07DA,103.35,11.43,0.0,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區文青路２２２號二樓之８,15.29,都市：其他:第五種住宅區(供合宜住宅使用),,,1100816,土地1建物1車位1,二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040709,139.33999999999997,2,1,1,有,有,9000000,64590,坡道平面,36.39,0,,RPQNMLSKQHGGFHH56DA,64.96,7.14,0.0,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區文化二路３４巷６５號十二樓,9.95,都市：其他:中心商業區,,,1100814,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970316,110.23,2,1,1,有,有,10380000,94167,坡道機械,14.56,0,陽台外推；,RPQPMLNLQHGGFHH98DA,57.16,10.96,0.0,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區長慶三街４２號,16.41,都市：其他:第四種住宅區,,,1100803,土地1建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),日常用品零售業,鋼筋混凝土造,1090424,136.07999999999998,0,1,1,有,有,11000000,89695,坡道平面,35.74,2000000,夾層；,RPSOMLKKRHGGFHH78DA,68.14,0.0,0.0,有,301
龜山區,房地(土地+建物)+車位,桃園市龜山區文青二路１１號五樓之９,21.27,都市：其他:第五種住宅區(供合宜住宅使用),,,1100825,土地1建物1車位1,五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040709,180.45999999999998,3,2,2,有,有,12500000,69267,坡道平面,36.39,0,,RPQNMLNKRHGGFHH78DA,90.44,10.5,0.0,有,
