鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
松山區,房地(土地+建物),臺北市松山區三民路１３６巷１４號五樓,9.69,都市：其他:住宅用地(民生社區特定專用區) 但是否在道路用地(公共設施用地)(應依建築線或俟地籍測量分割後，再確定)。,,,1100723,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0610805,33.99,0,1,1,有,無,8500000,250074,,0.0,0,陽台外推；,RPURMLNKQHGGFDA48EA,25.74,8.25,0.0,有,
信義區,房地(土地+建物),臺北市信義區松山路６６９號二樓,18.82,都市：其他:第二種住宅區。,,,1100726,土地1建物1車位0,二層，走廊,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810427,72.72,2,2,1,有,有,13200000,181518,,0.0,0,陽台外推；,RPVRMLNKQHGGFDA58EA,56.01,6.15,0.0,有,
松山區,車位,臺北市松山區八德路二段３４８之１號,0.07,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,,,1100902,土地2建物1車位1,一層,十四層,其他,一般零售業（甲組）,鋼筋混凝土造,0980123,18.0,0,0,0,有,有,1210000,,塔式車位,18.0,1210000,僅車位交易；,RPSNMLLKRHGGFDA77EA,0.0,0.0,0.0,有,080
松山區,房地(土地+建物)+車位,臺北市松山區三民路１８０巷２８號三樓之１,25.46,都市：其他:住宅用地(民生社區特定專用區)。,,,1100820,土地1建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841019,81.47999999999999,1,2,1,有,有,17450000,214163,坡道機械,13.38,0,,RPTNMLNKRHGGFDA08EA,42.17,7.34,0.0,有,
信義區,土地,信義段二小段60地號,105.42,都市：其他:道路用地(公共設施用地)。58/4/12,,,1100906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8856313,84010,,0.0,0,包含公共設施保留地用地；,RPOOMLNKRHGGFDA67EA,0.0,0.0,0.0,無,081
北投區,房地(土地+建物),臺北市北投區中山路１之７號五樓之４,8.27,都市：其他:特定觀光商業專用區。,,,1100510,土地1建物1車位0,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0670404,47.08,1,1,1,有,有,6500000,138063,,0.0,0,,RPUOMLTJRHGGFEA88EA,38.47,2.85,0.0,有,
松山區,房地(土地+建物),臺北市松山區八德路四段６６０號十一樓之６,13.42,都市：其他:第三種商業區(依都市計畫說明書圖規定辦理)。91/5/24,,,1100812,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0980727,143.95000000000002,4,2,2,有,有,29300000,203543,,0.0,0,,RPOOMLPKRHGGFDA87EA,105.52,7.91,0.0,有,
士林區,房地(土地+建物)+車位,臺北市士林區忠誠路一段６３號六樓,28.32,都市：其他:第三種住宅區。,,,1100711,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0740118,161.67,4,2,2,有,有,35750000,215376,坡道平面,9.62,3000000,其他增建；,RPQOMLLKRHGGFEA77EA,130.55,10.49,0.0,有,
北投區,房地(土地+建物),臺北市北投區致遠一路二段７０巷１弄４號四樓,23.75,都市：其他:第三種住宅區。,,,1100825,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670112,80.0,3,2,1,有,無,13510000,168875,,0.0,0,陽台外推；,RPROMLLKRHGGFEA87EA,68.24,11.76,0.0,無,
北投區,房地(土地+建物),臺北市北投區溫泉路７３巷３號九樓,6.43,都市：其他:特定觀光商業專用區。,,,1100802,土地1建物1車位0,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820802,65.78,2,1,1,有,無,3500000,53208,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLKKRHGGFEA97EA,31.53,28.97,0.0,有,
