鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
岡山區,房地(土地+建物),高雄市岡山區育才路３８巷４弄３號,96.74,都市：其他:住宅區,,,1100709,土地2建物1車位0,全,002,透天厝,住家用,鋼筋混凝土造,0771115,145.4,4,2,3,有,有,8600000,59147,,0.0,0,3、4樓增建4F只搭鐵皮其他增建；,RPUNMLLJRHGGFFE38DA,109.01,36.39,0.0,無,
岡山區,房地(土地+建物),高雄市岡山區大德一路１１１號五樓,14.78,都市：其他:住宅區,,,1100819,土地1建物1車位0,五層,015,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831120,140.76,4,2,2,有,有,4800000,34101,,0.0,0,買方負擔全部稅規費.親友、員工、共有人或其他特殊關係間之交易；,RPRNMLSLQHGGFFE88DA,89.71,15.17,0.0,有,
岡山區,土地,嘉興段606-22地號,49.46,,鄉村區,乙種建築用地,1100812,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,673200,13611,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLMKQHGGFFE38DA,0.0,0.0,0.0,無,
岡山區,土地,嘉興段606-23地號,59.35,,鄉村區,乙種建築用地,1100812,土地7建物0車位0,,,其他,,,,0.0,0,0,0,有,無,807750,13610,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLMKQHGGFFE48DA,0.0,0.0,0.0,無,
左營區,房地(土地+建物)+車位,高雄市左營區文學路６１１巷５６號十一樓之２,17.88,都市：其他:第五種住宅區,,,1100827,土地1建物1車位1,十一層,015,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1080806,183.13,3,2,2,有,有,13150000,71807,坡道平面,27.06,0,,RPXNMLLKRHGGFEE68DA,74.57,26.26,0.0,有,
左營區,房地(土地+建物)+車位,高雄市左營區文學路６１１巷５２號十五樓之２,15.29,都市：其他:第五種住宅區,,,1100829,土地1建物1車位1,十五層,015,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1080806,160.64999999999998,3,2,2,有,有,11270000,70153,坡道平面,27.06,0,,RPOOMLLKRHGGFEE87DA,76.54,10.7,0.0,有,
楠梓區,房地(土地+建物),高雄市楠梓區朝明路１１６巷６６號十五樓,7.26,都市：其他:第五種住宅區,,,1100812,土地1建物1車位0,十五層,015,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1060123,70.35,2,1,1,有,有,4350000,61834,,0.0,0,,RPQOMLLKRHGGFEE08DA,41.14,5.88,0.0,有,124
左營區,房地(土地+建物)+車位,高雄市左營區文學路６１１巷５６號九樓之２,18.61,都市：其他:第五種住宅區,,,1100814,土地1建物1車位1,九層,015,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1080806,193.62,3,2,2,有,有,13300000,68691,坡道平面,27.06,0,,RPUNMLLKRHGGFEE38DA,77.71,31.06,0.0,有,
左營區,房地(土地+建物),高雄市左營區文學路６１１巷５２號十樓之３,11.41,都市：其他:第五種住宅區,,,1100825,土地1建物1車位0,十層,015,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1080806,111.87,2,2,2,有,有,7550000,67489,,0.0,0,,RPVNMLLKRHGGFEE48DA,54.85,18.21,0.0,有,
楠梓區,房地(土地+建物),高雄市楠梓區裕昌街２９號,60.0,都市：其他:第四種商業區,,,1100726,土地1建物1車位0,全,002,透天厝,,鋼筋混凝土造,0660401,100.3,4,2,3,有,無,3764900,37536,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRPMLKKRHGGFEE18DA,100.3,0.0,0.0,無,
